run,episode,step_in_episode,global_step,epsilon,state_traffic_b,state_cpu_b,state_queue_b,state_server_idx,action,reward,traffic_rpm,cpu_utilization,queue_size,servers,latency_ms,booking_success_rate,infra_cost,sla_violation,queue_overflow,day_of_week,is_weekend,festival_active
baseline,0,0,0,,0,0,0,2,0,-0.4312470155798277,14.0,30.135690238515785,0,2,120.0,0.9761904761904762,0.96,False,False,1,False,False
baseline,0,1,1,,0,0,0,1,0,1.52,14.0,61.993378370795774,0,1,120.0,0.9880952380952381,0.48,False,False,1,False,False
baseline,0,2,2,,0,2,0,0,1,0.08438986882084165,16.0,76.59759535808952,0,1,172.78076286471617,0.96875,0.48,False,False,1,False,False
baseline,0,3,3,,0,3,0,0,1,1.52,11.0,45.933828792915854,0,1,120.0,1.0,0.48,False,False,1,False,False
baseline,0,4,4,,0,1,0,0,1,1.52,13.0,59.84115880884495,0,1,120.0,0.9743589743589743,0.48,False,False,1,False,False
baseline,0,5,5,,0,1,0,0,1,1.52,14.0,61.62586673813154,0,1,120.0,0.9642857142857143,0.48,False,False,1,False,False
baseline,0,6,6,,0,2,0,0,1,1.52,12.0,55.13393680029651,0,1,120.0,0.9861111111111112,0.48,False,False,1,False,False
baseline,0,7,7,,0,1,0,0,1,0.12376629757387958,16.0,72.98808938906105,0,1,143.90471511248836,1.0,0.48,False,False,1,False,False
baseline,0,8,8,,0,2,0,0,1,1.52,12.0,53.62213571331482,0,1,120.0,0.9583333333333334,0.48,False,False,1,False,False
baseline,0,9,9,,0,1,0,0,1,0.06081175076282941,18.0,78.75892284674065,0,1,190.07138277392517,0.9907407407407407,0.48,False,False,1,False,False
baseline,0,10,10,,0,3,0,0,1,0.11544054896547962,7.0,36.248716988502295,0,1,120.0,0.9761904761904762,0.48,False,False,1,False,False
baseline,0,11,11,,0,0,0,0,0,0.13083956396876162,8.0,37.66029336380314,0,1,120.0,0.9583333333333334,0.48,False,False,1,False,False
baseline,0,12,12,,0,0,0,0,0,1.52,14.0,68.66606496152359,0,1,120.0,0.9523809523809523,0.48,False,False,1,False,False
baseline,0,13,13,,0,2,0,0,1,-0.03964367673871699,19.0,87.9673370343824,0,1,263.73869627505917,0.956140350877193,0.48,False,False,1,False,False
baseline,0,14,14,,0,3,0,0,2,-0.45371391553177076,11.0,28.07622440958767,0,2,120.0,0.9848484848484849,0.96,False,False,1,False,False
baseline,0,15,15,,0,0,0,1,0,0.02833027235449026,18.0,81.7363917008384,0,1,213.89113360670717,0.9907407407407407,0.48,False,False,1,False,False
baseline,0,16,16,,0,3,0,0,2,-0.4096165967677371,15.0,32.11847862962409,0,2,120.0,0.9666666666666667,0.96,False,False,1,False,False
baseline,0,17,17,,0,0,0,1,0,1.52,10.0,43.893611673836865,0,1,120.0,0.9833333333333333,0.48,False,False,1,False,False
baseline,0,18,18,,0,1,0,0,1,1.52,10.0,44.50699979106064,0,1,120.0,0.9166666666666666,0.48,False,False,1,False,False
baseline,0,19,19,,0,1,0,0,1,1.52,12.0,51.97587083688706,0,1,120.0,0.9722222222222222,0.48,False,False,1,False,False
baseline,0,20,20,,0,1,0,0,1,0.13986055391888164,16.0,71.51278255743586,0,1,132.10226045948684,1.0,0.48,False,False,1,False,False
baseline,0,21,21,,0,2,0,0,1,0.11889302283659187,8.0,36.56519376002092,0,1,120.0,0.9583333333333334,0.48,False,False,1,False,False
baseline,0,22,22,,0,0,0,0,0,1.52,12.0,53.2787976694619,0,1,120.0,0.9861111111111112,0.48,False,False,1,False,False
baseline,0,23,23,,0,1,0,0,1,1.52,11.0,42.201043216833654,0,1,120.0,0.9545454545454546,0.48,False,False,1,False,False
baseline,0,24,24,,0,1,0,0,1,1.52,15.0,66.24317702370364,0,1,120.0,1.0,0.48,False,False,1,False,False
baseline,0,25,25,,0,2,0,0,1,1.52,16.0,69.30162525200659,0,1,120.0,0.9791666666666666,0.48,False,False,1,False,False
baseline,0,26,26,,0,2,0,0,1,-0.049653168571812845,20.0,88.88487378574952,0,1,271.07899028599616,0.9666666666666667,0.48,False,False,1,False,False
baseline,0,27,27,,0,3,0,0,2,-0.538438926786839,12.0,20.30976504453975,0,2,120.0,0.9861111111111112,0.96,False,False,1,False,False
baseline,0,28,28,,0,0,0,1,0,0.05125146894907584,18.0,79.63528201300139,0,1,197.0822561040111,1.0,0.48,False,False,1,False,False
